shipment_id,date,region,warehouse,transport_mode,distance_km,shipment_volume_kg,promised_delivery_days,actual_delivery_days,delay_days,is_delayed,transportation_cost,fuel_surcharge_pct,customer_satisfaction,damaged_or_lost
SHP-01029,2025-01-01,North,WH-Delhi,Road,1345.2,154.7,16.36,16.34,-0.02,False,712.26,3.1,5,0
SHP-00849,2025-01-01,East,WH-Mumbai,Air,1819.1,162.0,6.16,6.31,0.15,True,3212.28,9.5,5,0
SHP-00756,2025-01-01,East,WH-Chennai,Rail,1910.1,605.1,13.8,14.08,0.28,True,786.07,7.3,5,0
SHP-00992,2025-01-01,East,WH-Chennai,Road,1226.5,249.9,15.76,15.71,-0.05,False,820.17,3.6,4,0
SHP-00447,2025-01-01,North,WH-Mumbai,Road,2507.4,692.2,26.36,31.41,5.05,True,1837.29,7.9,3,0
SHP-01165,2025-01-01,South,WH-Bhopal,Rail,1594.4,225.0,12.99,14.06,1.07,True,610.32,4.9,4,0
SHP-00649,2025-01-01,South,WH-Bhopal,Road,2306.4,210.8,30.11,30.13,0.02,True,1269.41,6.2,5,0
SHP-00678,2025-01-01,Central,WH-Delhi,Sea,830.7,625.0,7.59,7.61,0.02,True,409.14,9.8,4,0
SHP-00064,2025-01-02,East,WH-Delhi,Rail,147.2,467.0,2.42,2.72,0.3,True,316.2,3.4,5,0
SHP-00207,2025-01-02,North,WH-Chennai,Road,1730.0,30.8,19.17,21.91,2.74,True,862.9,7.2,3,0
SHP-00264,2025-01-02,Central,WH-Bhopal,Road,2483.3,643.4,30.38,30.3,-0.08,False,1743.22,11.7,4,0
SHP-00896,2025-01-03,Central,WH-Chennai,Road,1368.0,623.3,16.35,19.65,3.3,True,1191.71,8.6,4,0
SHP-00969,2025-01-04,North,WH-Kolkata,Rail,454.1,1045.6,4.27,4.29,0.02,True,659.91,11.2,4,0
SHP-00949,2025-01-04,North,WH-Mumbai,Rail,740.3,735.4,8.87,9.18,0.31,True,666.12,8.4,4,0
SHP-00326,2025-01-04,West,WH-Bhopal,Road,1877.7,343.8,21.55,23.08,1.53,True,1285.42,6.9,4,0
SHP-00497,2025-01-04,North,WH-Delhi,Rail,2257.7,545.8,15.59,19.67,4.08,True,1025.34,8.4,3,0
SHP-01045,2025-01-05,North,WH-Kolkata,Rail,79.0,1320.6,1.09,1.2,0.11,True,672.32,4.5,4,0
SHP-01092,2025-01-05,East,WH-Bhopal,Air,103.3,63.2,2.03,2.25,0.22,True,358.17,6.5,5,0
SHP-00416,2025-01-05,South,WH-Bhopal,Road,2589.4,117.3,31.95,31.62,-0.33,False,1353.67,2.4,4,0
SHP-00614,2025-01-05,East,WH-Kolkata,Road,2654.2,373.3,32.8,31.71,-1.09,False,1615.97,7.3,4,1
SHP-00129,2025-01-05,East,WH-Mumbai,Rail,953.3,655.5,10.12,10.43,0.31,True,550.19,3.9,4,0
SHP-00721,2025-01-05,South,WH-Delhi,Road,443.7,115.9,5.38,6.44,1.06,True,227.93,7.6,4,0
SHP-00843,2025-01-05,East,WH-Bhopal,Road,1236.7,359.0,13.57,14.94,1.37,True,822.3,4.8,4,0
SHP-00965,2025-01-06,South,WH-Chennai,Rail,1003.1,812.9,10.16,10.09,-0.07,False,616.89,6.9,5,0
SHP-00335,2025-01-06,East,WH-Chennai,Rail,2052.4,1119.4,14.66,17.4,2.74,True,1318.51,5.2,3,0
SHP-00742,2025-01-06,South,WH-Chennai,Air,2811.9,183.6,8.25,9.71,1.46,True,4879.18,10.9,4,0
SHP-00935,2025-01-06,West,WH-Kolkata,Road,2745.6,119.7,31.81,34.64,2.83,True,1473.89,5.2,3,0
SHP-00606,2025-01-07,North,WH-Kolkata,Road,479.4,317.2,6.29,6.19,-0.1,False,487.58,7.0,4,0
SHP-00895,2025-01-07,North,WH-Bhopal,Rail,2318.5,197.6,18.13,18.35,0.22,True,877.81,8.8,5,0
SHP-00688,2025-01-08,South,WH-Delhi,Road,96.8,167.2,1.8,2.08,0.28,True,87.67,11.2,4,0
SHP-00876,2025-01-08,Central,WH-Chennai,Rail,2948.9,1267.6,20.27,24.47,4.2,True,1570.64,6.3,3,0
SHP-00829,2025-01-08,North,WH-Mumbai,Road,399.2,66.5,5.04,5.3,0.26,True,253.05,6.7,4,0
SHP-00098,2025-01-09,Central,WH-Mumbai,Rail,2118.0,782.5,15.36,18.61,3.25,True,997.77,4.6,4,0
SHP-00602,2025-01-09,North,WH-Mumbai,Road,2202.1,322.0,22.75,29.05,6.3,True,1381.37,6.3,3,0
SHP-00270,2025-01-09,North,WH-Kolkata,Road,2887.5,541.9,36.23,36.22,-0.01,False,1893.58,8.9,5,0
SHP-01004,2025-01-10,East,WH-Delhi,Road,2248.2,124.2,23.62,26.94,3.32,True,1183.19,5.7,3,0
SHP-00485,2025-01-10,Central,WH-Chennai,Air,2060.3,114.4,6.86,7.02,0.16,True,3494.67,6.6,4,0
SHP-01091,2025-01-10,East,WH-Delhi,Air,2370.1,110.1,8.35,8.63,0.28,True,3942.93,5.1,4,0
SHP-00715,2025-01-10,North,WH-Kolkata,Sea,1713.4,481.1,11.05,11.96,0.91,True,425.86,6.4,4,0
SHP-01123,2025-01-11,West,WH-Bhopal,Road,1675.9,265.3,17.48,22.82,5.34,True,1062.0,10.2,3,0
